,Name of bill,Bill no.,Stage,Last activity,Select Committee
35,Resource Management Amendment Bill (No 3)  Bill - government,71-3I,RA,19 May 2004,
36,Summary Proceedings Amendment Bill (No 2)  Bill - government,71-3J,RA,19 May 2004,
37,Te Ture Whenua Maori Amendment Bill  Bill - government,71-3K,RA,19 May 2004,
38,Criminal Records (Clean Slate) Bill  Bill - government,183-3,RA,16 May 2004,Justice and Electoral Committee
39,Judicial Matters Bill  Bill - government,71-2,3,12 May 2004,Justice and Electoral Committee
40,Income Tax Bill  Bill - government,11-2,RA,07 May 2004,Finance and Expenditure Committee
41,Holidays (Four Weeks Annual Leave) Amendment Bill  Bill - member's,12-1,W,05 May 2004,Transport and Industrial Relations Committee
42,Local Government (Rating Cap) Amendment Bill  Bill - member's,70-1,W,05 May 2004,
43,New Plymouth District Council (Land Vesting) Bill  Bill - local,164-1,2,21 April 2004,Local Government and Environment Committee
44,Building Societies Amendment Bill  Bill - government,,RA,14 April 2004,
45,Commerce Amendment Bill (No 2)  Bill - government,,RA,14 April 2004,
46,Companies Amendment Bill (No 2)  Bill - government,,RA,14 April 2004,
47,Co-operative Companies Amendment Bill  Bill - government,,RA,14 April 2004,
48,Distress and Replevin Amendment Bill  Bill - government,,RA,14 April 2004,
49,Financial Reporting Amendment Bill  Bill - government,,RA,14 April 2004,
0,Friendly Societies and Credit Unions Amendment Bill  Bill - government,,RA,14 April 2004,
1,Life Insurance Amendment Bill  Bill - government,,RA,14 April 2004,
2,Personal Property Securities Amendment Bill  Bill - government,,RA,14 April 2004,
3,Securities Amendment Bill (No 2)  Bill - government,,RA,14 April 2004,
4,Securities Markets Amendment Bill (No 2)  Bill - government,,RA,14 April 2004,
5,Superannuation Schemes Amendment Bill  Bill - government,,RA,14 April 2004,
6,Unit Trusts Amendment Bill  Bill - government,,RA,14 April 2004,
7,Business Law Reform Bill  Bill - government,56-2,3,06 April 2004,Commerce Committee
8,Telecommunications (Interception Capability) Bill  Bill - government,15-2,RA,05 April 2004,Law and Order Committee
9,New Zealand Symphony Orchestra Bill  Bill - government,25-2,RA,05 April 2004,Government Administration Committee
10,Radio New Zealand Amendment Bill  Bill - government,29-2,RA,05 April 2004,Commerce Committee
11,Crimes and Misconduct (Overseas Operations) Bill  Bill - government,68-2,RA,05 April 2004,"Foreign Affairs, Defence and Trade Committee"
12,Education (Disestablishment of Early Childhood Development Board) Amendment Bill  Bill - government,77-2,RA,05 April 2004,Education and Science Committee
13,Maritime Security Bill  Bill - government,80-2,RA,05 April 2004,Government Administration Committee
14,Sale of Liquor Amendment Bill (No 2)  Bill - government,87-2,RA,05 April 2004,Commerce Committee
15,State Sector Amendment Bill (No 3)  Bill - government,100-2,RA,05 April 2004,Education and Science Committee
16,Volunteers Employment Protection Amendment Bill  Bill - member's,58-2,RA,30 March 2004,"Foreign Affairs, Defence and Trade Committee"
17,Appropriation (2002/03 Financial Review) Bill  Bill - government,93-1,RA,30 March 2004,
18,Companies Amendment Bill  Bill - member's,13-3A,RA,30 March 2004,
19,Insolvency Amendment Bill  Bill - member's,13-3B,RA,30 March 2004,
20,Defence Amendment Bill (No 2)  Bill - member's,,RA,30 March 2004,
21,Civil Aviation Amendment Bill  Bill - government,64-3,RA,23 March 2004,Transport and Industrial Relations Committee
22,Hazardous Substances and New Organisms (Transitional Provisions and Controls) Amendment Bill  Bill - government,84-2,RA,23 March 2004,Education and Science Committee
23,Fisheries Amendment Bill (No 2)  Bill - government,85-2,RA,18 March 2004,Primary Production Committee
24,Resource Management (Aquaculture Moratorium Extension) Amendment Bill  Bill - government,97-2,RA,18 March 2004,Primary Production Committee
25,Taxation (Disaster Relief) Bill  Bill - government,107-1,RA,17 March 2004,
26,Status of Redundancy Payments Bill  Bill - member's,13-2,3,03 March 2004,Commerce Committee
27,Arms Amendment Bill (No 2)  Bill - government,312-1,3,02 March 2004,Law and Order Committee
28,Diplomatic Privileges and Immunities Amendment Bill  Bill - government,61-2,RA,01 March 2004,"Foreign Affairs, Defence and Trade Committee"
29,Resource Management (Energy and Climate Change) Amendment Bill  Bill - government,48-2,RA,01 March 2004,Local Government and Environment Committee
30,Wellington City Empowering and Amendment Bill  Bill - local,10-1,RA,23 February 2004,Local Government and Environment Committee
31,Road Traffic Reduction Bill  Bill - member's,125-1,W,18 February 2004,Transport and Industrial Relations Committee
32,"Films, Videos, and Publications Classification (Meaning of Objectionable) Amendment Bill  Bill - member's",21-1,SC,17 February 2004,
33,Taonga Maori Protection Bill  Bill - government,166-1,3,21 January 2004,Māori Affairs Committee
34,Holidays Bill  Bill - government,32-3,RA,17 December 2003,Transport and Industrial Relations Committee
35,Families Commission Bill  Bill - government,45-2,RA,17 December 2003,Social Services Committee
36,Masterton District Council (Montfort Trimble Foundation) Bill  Bill - local,6-2,RA,10 December 2003,Local Government and Environment Committee
37,Resource Management (Costs) Amendment Bill  Bill - member's,233-1,CH,03 December 2003,Local Government and Environment Committee
38,Rodney District Council (PENLINK Toll Road) Empowering Bill  Bill - local,150-2,W,03 December 2003,Transport and Industrial Relations Committee
39,Ngati Tama Claims Settlement Bill  Bill - government,44-2,RA,25 November 2003,Māori Affairs Committee
40,"Taxation (GST, Trans-Tasman Imputation and Miscellaneous Provisons) Bill  Bill - government",60-3A,RA,25 November 2003,
41,Taxation (Annual Rates of Income Tax 2003-04) Bill  Bill - government,60-3B,RA,25 November 2003,
42,Student Loan Scheme Amendment Bill (No 2)  Bill - government,60-3C,RA,25 November 2003,
43,Child Support Amendment Bill (No 2)  Bill - government,60-3D,RA,25 November 2003,
44,Student Loan Scheme Amendment Bill  Bill - government,213-3C,RA,18 November 2003,
45,"Taxation (Annual Rates, GST, Trans-Tasman Imputation and Miscellaneous Provisions) Bill  Bill - government",60-2,3,18 November 2003,Finance and Expenditure Committee
46,Dog Control Amendment Bill  Bill - government,307-4,,17 November 2003,
47,Subordinate Legislation (Confirmation and Validation) Bill (No 2)  Bill - government,76-1,RA,17 November 2003,Regulations Review Committee
48,Land Transport Management Bill  Bill - government,19-3,RA,12 November 2003,Transport and Industrial Relations Committee
49,Retirement Villages Bill  Bill - government,190-2,RA,30 October 2003,Justice and Electoral Committee
0,Criminal Investigations (Bodily Samples) Amendment Bill  Bill - government,221-2,RA,30 October 2003,Law and Order Committee
1,Wine Bill  Bill - government,8-2,RA,30 October 2003,Primary Production Committee
2,Copyright (Parallel Importation of Films and Onus of Proof) Amendment Bill  Bill - government,14-2,RA,30 October 2003,Commerce Committee
3,New Zealand Horticulture Export Authority Amendment Bill (No 2)  Bill - government,31-2,RA,30 October 2003,Primary Production Committee
4,Crimes Amendment Bill  Bill - government,,RA,30 October 2003,
5,Terrorism Suppression Amendment Bill  Bill - government,,RA,30 October 2003,
6,Misuse of Drugs Amendment Bill (No 2)  Bill - government,,RA,30 October 2003,
7,New Zealand Security Intelligence Service Amendment Bill  Bill - government,,RA,30 October 2003,
8,Sentencing Amendment Bill  Bill - government,,RA,30 October 2003,
9,Summary Proceedings Amendment Bill  Bill - government,,RA,30 October 2003,
10,Reserves and Other Lands Disposal Bill  Bill - government,207-1,RA,21 October 2003,Primary Production Committee
11,Counter-Terrorism Bill  Bill - government,27-2,3,21 October 2003,"Foreign Affairs, Defence and Trade Committee"
12,Administration Amendment Bill  Bill - government,,RA,21 October 2003,
13,Armed Forces Discipline Amendment Bill  Bill - government,,RA,21 October 2003,
14,Bail Amendment Bill (No 2)  Bill - government,,RA,21 October 2003,
15,"Births, Deaths, and Marriages Registration Amendment Bill (No 2)  Bill - government",,RA,21 October 2003,
16,Building Amendment Bill (No 2)  Bill - government,,RA,21 October 2003,
17,Burial and Cremation Amendment Bill  Bill - government,,RA,21 October 2003,
18,Business Development Boards Act Repeal Bill  Bill - government,,RA,21 October 2003,
19,Conservation Amendment Bill  Bill - government,,RA,21 October 2003,
20,Construction Contracts Amendment Bill  Bill - government,,RA,21 October 2003,
21,Coroners Amendment Bill  Bill - government,,RA,21 October 2003,
22,Courts Martial Appeals Amendment Bill  Bill - government,,RA,21 October 2003,
23,Defence Amendment Bill  Bill - government,,RA,21 October 2003,
24,District Courts Amendment Bill (No 2)  Bill - government,,RA,21 October 2003,
25,Domestic Violence Amendment Bill  Bill - government,,RA,21 October 2003,
26,Electricity Amendment Bill  Bill - government,,RA,21 October 2003,
27,"Flags, Emblems, and Names Protection Amendment Bill  Bill - government",,RA,21 October 2003,
28,Gas Amendment Bill  Bill - government,,RA,21 October 2003,
29,Health and Disability Services (Safety) Amendment Bill  Bill - government,,RA,21 October 2003,
30,Health Research Council Amendment Bill  Bill - government,,RA,21 October 2003,
31,Industrial and Provident Societies Amendment Bill  Bill - government,,RA,21 October 2003,
32,Industry Training Amendment Bill (No 2)  Bill - government,,RA,21 October 2003,
33,Legal Services Amendment Bill  Bill - government,,RA,21 October 2003,
34,"Injury Prevention, Rehabilitation, and Compensation Amendment Bill (No 2)  Bill - government",,RA,21 October 2003,
35,Local Government Official Information and Meetings Amendment Bill  Bill - government,,RA,21 October 2003,
36,Local Government (Rating) Amendment Bill  Bill - government,,RA,21 October 2003,
37,Medicines Amendment Bill (No 3)  Bill - government,,RA,21 October 2003,
38,Mental Health (Compulsory Assessment and Treatment) Amendment Bill  Bill - government,,RA,21 October 2003,
39,Misuse of Drugs Amendment Bill  Bill - government,,RA,21 October 2003,
40,New Zealand Public Health and Disability Amendment Bill  Bill - government,,RA,21 October 2003,
41,New Zealand Railways Corporation Amendment Bill  Bill - government,,RA,21 October 2003,
42,Ngati Turangitukua Claims Settlement Amendment Bill  Bill - government,,RA,21 October 2003,
43,Official Information Amendment Bill  Bill - government,,RA,21 October 2003,
44,Ombudsmen Amendment Bill  Bill - government,,RA,21 October 2003,
45,Passports Amendment Bill  Bill - government,,RA,21 October 2003,
46,Police Amendment Bill (No 3)  Bill - government,,RA,21 October 2003,
47,Privacy Amendment Bill (No 2)  Bill - government,,RA,21 October 2003,
48,Private Investigators and Security Guards Amendment Bill  Bill - government,,RA,21 October 2003,
49,Queen Elizabeth the Second National Trust Amendment Bill  Bill - government,,RA,21 October 2003,
0,Standards Amendment Bill  Bill - government,,RA,21 October 2003,
1,State Sector Amendment Bill (No 2)  Bill - government,,RA,21 October 2003,
2,Tokelau Amendment Bill  Bill - government,,RA,21 October 2003,
3,Trade Marks Amendment Bill  Bill - government,,RA,21 October 2003,
4,Unit Titles Amendment Bill  Bill - government,,RA,21 October 2003,
5,War Funds Act Repeal Bill  Bill - government,,RA,21 October 2003,
6,Wildlife Amendment Bill  Bill - government,,RA,21 October 2003,
7,Government Superannuation Fund Amendment Bill (No 3)  Bill - government,,RA,21 October 2003,
8,Supreme Court Bill  Bill - government,16-3,RA,17 October 2003,Justice and Electoral Committee
9,Hazardous Substances and New Organisms Amendment Bill  Bill - government,47-3A,RA,17 October 2003,
10,Agricultural Compounds and Veterinary Medicines Amendment Bill (No 2)  Bill - government,47-3B,RA,17 October 2003,
11,Medicines Amendment Bill (No 2)  Bill - government,47-3C,RA,17 October 2003,
12,Biosecurity Amendment Bill (No 2)  Bill - government,47-3D,RA,17 October 2003,
13,Statutes Amendment Bill (No 3)  Bill - government,24-2,3,16 October 2003,Government Administration Committee
14,New Organisms and Other Matters Bill  Bill - government,47-2,3,09 October 2003,Education and Science Committee
15,Health Practitioners Competence Assurance Bill  Bill - government,230-3,,18 September 2003,
16,Medicines Amendment Bill  Bill - government,230-3B,RA,18 September 2003,
17,Health and Disability Commissioner Amendment Bill  Bill - government,230-3A,RA,18 September 2003,
18,Auckland War Memorial Museum Site Empowering Bill  Bill - local,55-2,RA,08 September 2003,Government Administration Committee
19,Immigration Amendment Bill  Bill - government,62-3,RA,08 September 2003,"Foreign Affairs, Defence and Trade Committee"
20,Crown Minerals Amendment Bill  Bill - government,174-2,RA,20 August 2003,Commerce Committee
21,Reserve Bank of New Zealand Amendment Bill  Bill - government,211-3,RA,20 August 2003,Finance and Expenditure Committee
22,New Zealand Horticulture Export Authority Amendment Bill  Bill - government,,RA,14 August 2003,
23,Appropriation (2003/04 Estimates) Bill  Bill - government,50-1,RA,07 August 2003,
24,Imprest Supply (Second for 2003/04) Bill  Bill - government,75-1,RA,07 August 2003,
25,Electoral (Vacancies) Amendment Bill  Bill - government,73-1,RA,07 August 2003,
26,State Sector Amendment Bill  Bill - government,143-2,RA,01 August 2003,Government Administration Committee
27,National Certificate in Educational Achievement Moratorium Bill  Bill - member's,22-1,W,30 July 2003,
28,Death with Dignity Bill  Bill - member's,37-1,W,30 July 2003,
29,Crimes Amendment Bill (No 6)  Bill - government,322-2,RA,07 July 2003,Law and Order Committee
30,Biosecurity Amendment Bill  Bill - government,147-2,RA,07 July 2003,Primary Production Committee
